Date,Symbol,Open,High,Low,Close,Volume
01-07-2011,MARUTI,1154,1155,1130,1143.15,447038
04-07-2011,MARUTI,1144,1163.95,1131.35,1157.8,278505
05-07-2011,MARUTI,1155.1,1170.85,1153.5,1166.35,183263
06-07-2011,MARUTI,1155.2,1174.85,1155.2,1168.9,179419
07-07-2011,MARUTI,1163,1189,1158.8,1182.7,229229
08-07-2011,MARUTI,1184.8,1202,1177.05,1184.25,341435
11-07-2011,MARUTI,1175.2,1178,1155,1164.15,162944
12-07-2011,MARUTI,1151.5,1152,1140.25,1147.45,174207
13-07-2011,MARUTI,1154,1167.9,1154,1164.8,151856
14-07-2011,MARUTI,1151.3,1188.4,1151.3,1174.2,368747
15-07-2011,MARUTI,1170.05,1184.7,1161.6,1177.55,171029
18-07-2011,MARUTI,1170,1188.95,1165,1174.75,151327
19-07-2011,MARUTI,1169.5,1174.9,1158.45,1163,245365
20-07-2011,MARUTI,1168.7,1176.9,1159.1,1162.7,255318
21-07-2011,MARUTI,1155.05,1170,1147.6,1156.15,172146
22-07-2011,MARUTI,1159,1168,1155,1161.6,376871
25-07-2011,MARUTI,1156.7,1185,1153.6,1181.25,203872
26-07-2011,MARUTI,1176,1201.7,1154.75,1176.95,1430916
27-07-2011,MARUTI,1182.9,1216.4,1172.2,1209.25,503547
28-07-2011,MARUTI,1197,1225,1178.55,1185.9,653432
29-07-2011,MARUTI,1189,1219.8,1189,1206.65,333021
01-08-2011,MARUTI,1210.1,1228.9,1191.45,1209.6,381542
02-08-2011,MARUTI,1193.05,1215.8,1193.05,1212.2,271852
03-08-2011,MARUTI,1195.5,1221.65,1195.5,1212.3,428422
04-08-2011,MARUTI,1198.05,1216,1193.35,1200.3,476072
05-08-2011,MARUTI,1170,1200,1168.8,1192,363463
08-08-2011,MARUTI,1178.45,1207.55,1163.1,1191.75,356035
09-08-2011,MARUTI,1170.05,1216.9,1170,1211.95,386251
10-08-2011,MARUTI,1225,1283.4,1215.6,1277.6,819358
11-08-2011,MARUTI,1270.55,1282,1239.25,1247.65,399042
12-08-2011,MARUTI,1249.4,1269,1238,1246.35,442137
16-08-2011,MARUTI,1246.2,1255.6,1220.1,1225.1,340364
17-08-2011,MARUTI,1220,1230.8,1179,1186,385046
18-08-2011,MARUTI,1197,1203,1152.65,1159.4,286994
19-08-2011,MARUTI,1137,1166.45,1134.1,1159.05,271953
22-08-2011,MARUTI,1165.5,1174.6,1149.1,1169.4,209465
23-08-2011,MARUTI,1171.1,1174.5,1152.4,1158.2,201777
24-08-2011,MARUTI,1145,1156.8,1097.35,1114.5,650647
25-08-2011,MARUTI,1124,1130.2,1103.4,1110.8,517715
26-08-2011,MARUTI,1117.05,1129,1047.75,1083.4,341740
29-08-2011,MARUTI,1080,1107,1056,1079.4,688962
30-08-2011,MARUTI,1070.1,1098.95,1063.6,1091.55,836549
02-09-2011,MARUTI,1072.05,1089,1067.05,1078.95,425137
05-09-2011,MARUTI,1073.5,1098.15,1064.25,1085.5,359484
06-09-2011,MARUTI,1088.9,1118.7,1088.9,1102.95,643403
07-09-2011,MARUTI,1103.45,1139.9,1093.3,1126.4,720712
08-09-2011,MARUTI,1137.9,1142,1122.4,1131.9,469276
09-09-2011,MARUTI,1136,1149,1098.9,1103.4,355468
12-09-2011,MARUTI,1098,1098,1056,1068.25,261197
13-09-2011,MARUTI,1070.55,1096,1061.65,1074.9,422726
14-09-2011,MARUTI,1078,1104,1041.35,1094.6,353955
15-09-2011,MARUTI,1085.2,1095.85,1060,1082.25,781399
16-09-2011,MARUTI,1071.1,1117.65,1065,1109.45,1247652
